,index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),Target,setosa,versicolor,virginica
0,102,7.1,3.0,5.9,2.1,virginica,0.0,0.0,1.0
1,130,7.4,2.8,6.1,1.9,virginica,0.0,0.0,1.0
2,19,5.1,3.8,1.5,0.3,setosa,1.0,0.0,0.0
3,11,4.8,3.4,1.6,0.2,setosa,1.0,0.0,0.0
4,128,6.4,2.8,5.6,2.1,virginica,0.0,0.0,1.0
5,68,6.2,2.2,4.5,1.5,versicolor,0.0,0.97,0.03
6,27,5.2,3.5,1.5,0.2,setosa,1.0,0.0,0.0
7,95,5.7,3.0,4.2,1.2,versicolor,0.0,1.0,0.0
8,1,4.9,3.0,1.4,0.2,setosa,1.0,0.0,0.0
9,4,5.0,3.6,1.4,0.2,setosa,1.0,0.0,0.0
10,42,4.4,3.2,1.3,0.2,setosa,1.0,0.0,0.0
11,99,5.7,2.8,4.1,1.3,versicolor,0.0,1.0,0.0
12,107,7.3,2.9,6.3,1.8,virginica,0.0,0.0,1.0
13,66,5.6,3.0,4.5,1.5,versicolor,0.0,0.99,0.01
14,49,5.0,3.3,1.4,0.2,setosa,1.0,0.0,0.0
15,96,5.7,2.9,4.2,1.3,versicolor,0.0,1.0,0.0
16,47,4.6,3.2,1.4,0.2,setosa,1.0,0.0,0.0
17,72,6.3,2.5,4.9,1.5,versicolor,0.0,0.82,0.18
18,116,6.5,3.0,5.5,1.8,virginica,0.0,0.0,1.0
19,17,5.1,3.5,1.4,0.3,setosa,1.0,0.0,0.0
20,145,6.7,3.0,5.2,2.3,virginica,0.0,0.0,1.0
21,114,5.8,2.8,5.1,2.4,virginica,0.0,0.01,0.99
22,133,6.3,2.8,5.1,1.5,virginica,0.0,0.17,0.83
23,140,6.7,3.1,5.6,2.4,virginica,0.0,0.0,1.0
24,35,5.0,3.2,1.2,0.2,setosa,1.0,0.0,0.0
25,8,4.4,2.9,1.4,0.2,setosa,1.0,0.0,0.0
26,63,6.1,2.9,4.7,1.4,versicolor,0.0,1.0,0.0
27,131,7.9,3.8,6.4,2.0,virginica,0.0,0.0,1.0
28,101,5.8,2.7,5.1,1.9,virginica,0.0,0.03,0.97
29,51,6.4,3.2,4.5,1.5,versicolor,0.0,0.99,0.01
30,105,7.6,3.0,6.6,2.1,virginica,0.0,0.0,1.0
31,48,5.3,3.7,1.5,0.2,setosa,1.0,0.0,0.0
32,30,4.8,3.1,1.6,0.2,setosa,1.0,0.0,0.0
33,85,6.0,3.4,4.5,1.6,versicolor,0.0,0.99,0.01
34,146,6.3,2.5,5.0,1.9,virginica,0.0,0.01,0.99
35,18,5.7,3.8,1.7,0.3,setosa,0.95,0.05,0.0
36,88,5.6,3.0,4.1,1.3,versicolor,0.0,1.0,0.0
37,3,4.6,3.1,1.5,0.2,setosa,1.0,0.0,0.0
